Date	UP-TC	BR-TC	GJ-TC	MH-TC	KR-TC	UP-C	BR-C	GJ-C	MH-C	KR-C
5/12/2020	3664	879	8903	24427	524	91	118	362	1026	5
5/13/2020	3758	953	9267	25922	534	94	74	364	1495	10
5/14/2020	3902	999	9591	27524	560	144	46	324	1602	26
5/15/2020	4057	1079	9931	29100	576	155	80	340	1576	16
5/16/2020	4258	1178	10988	30706	587	201	99	1057	1606	11
5/17/2020	4464	1326	11379	33053	601	206	148	391	2347	14
5/18/2020	4605	1442	11745	35058	630	141	116	366	2005	29
5/19/2020	4926	1786	12140	37136	642	321	344	395	2078	12
5/20/2020	5175	1987	12537	39297	666	249	201	397	2161	24
5/21/2020	5515	2166	12905	41642	690	340	179	368	2345	24
5/22/2020	5735	2394	13268	44582	732	220	228	363	2940	42
5/23/2020	6017	2574	13664	47190	794	282	180	396	2608	62
5/24/2020	6268	2737	14056	50231	847	251	163	392	3041	53
5/25/2020	6497	2960	14460	52667	896	229	223	404	2436	49
5/26/2020	6724	2960	14821	54758	963	227	0	361	2091	67
5/27/2020	6991	3036	15195	56948	1003	267	76	374	2190	40
5/28/2020	7170	3185	15562	59546	1088	179	149	367	2598	85
5/29/2020	7445	3359	15933	62228	1150	275	174	371	2682	62
5/30/2020	7701	3565	16343	65168	1208	256	206	410	2940	58
5/31/2020	8075	3692	16779	67655	1269	374	127	436	2487	61
6/1/2020	8361	3872	17200	70013	1326	286	180	421	2358	57
6/2/2020	8729	4049	17615	72300	1412	368	177	415	2287	86
6/3/2020	8870	4273	18100	74860	1494	141	224	485	2560	82
6/4/2020	9237	4420	18584	77793	1588	367	147	484	2933	94
6/5/2020	9733	4551	19094	80229	1699	496	131	510	2436	111
6/6/2020	10103	4745	19592	82968	1807	370	194	498	2739	108
6/7/2020	10536	4972	20070	85975	1914	433	227	478	3007	107
6/8/2020	10947	5176	20545	88529	2005	411	204	475	2554	91
6/9/2020	11335	5364	21014	90787	2096	388	188	469	2258	91
6/10/2020	11610	5583	21521	94041	2161	275	219	507	3254	65
6/11/2020	0	5807	22032	97648	2244	0	224	511	3607	83
6/12/2020	0	6043	22527	101141	2322	0	236	495	3493	78
6/13/2020	0	6183	0	104568	2407	0	140	0	3427	85
6/14/2020	0	0	0	0	0	0	0	0	0	0
