Date	UP-TD	BR-TD	GJ-TD	MH-TD	KR-TD	UP-D	BR-D	GJ-D	MH-D	KR-D
5/16/2020	104	8	625	1134	3	9	1	19	67	0
5/17/2020	112	8	659	1198	3	8	0	34	64	0
5/18/2020	118	9	694	1249	3	6	1	35	51	0
5/19/2020	123	9	719	1325	3	5	0	25	76	0
5/20/2020	127	9	749	1389	3	4	0	30	64	0
5/21/2020	138	10	773	1453	3	11	1	24	64	0
5/22/2020	152	11	802	1516	4	14	1	29	63	1
5/23/2020	155	11	829	1576	4	3	0	27	60	0
5/24/2020	161	13	858	1634	5	6	2	29	58	1
5/25/2020	169	14	888	1694	5	8	1	30	60	0
5/26/2020	177	15	915	1792	6	8	1	27	98	1
5/27/2020	182	15	938	1897	6	5	0	23	105	0
5/28/2020	197	16	960	1982	7	15	1	22	85	1
5/29/2020	201	17	980	2098	8	4	1	20	116	1
5/30/2020	213	21	1007	2197	9	12	4	27	99	1
5/31/2020	217	23	1038	2285	9	4	2	31	88	0
6/1/2020	222	23	1063	2365	10	5	0	25	80	1
6/2/2020	229	24	1092	2465	11	7	1	29	100	1
6/3/2020	230	25	1122	2587	11	1	1	30	122	0
6/4/2020	245	28	1155	2710	14	15	3	33	123	3
6/5/2020	257	29	1190	2849	14	12	1	35	139	0
6/6/2020	268	29	1219	2969	15	11	0	29	120	1
6/7/2020	275	30	1249	3060	15	7	1	30	91	0
6/8/2020	283	31	1280	3169	16	8	1	31	109	1
6/9/2020	301	33	1313	3289	16	18	2	33	120	0
6/10/2020	321	34	1347	3438	17	20	1	34	149	1
6/11/2020	0	34	1385	3590	18	0	0	38	152	1
6/12/2020	0	35	1415	3717	19	0	1	30	127	1
6/13/2020	0	35	0	3830	19	0	0	0	113	0
6/14/2020	0	0	0	0	0	0	0	0	0	0
