Date	UP-TR	BR-TR	GJ-TR	MH-TR	KR-TR	UP-R	BR-R	GJ-R	MH-R	KR-R
5/14/2020	2072	412	3753	6089	493	107	12	191	542	3
5/15/2020	2165	440	4035	6564	493	93	28	282	475	0
5/16/2020	2441	473	4308	7088	497	276	33	273	524	4
5/17/2020	2636	499	4499	7688	497	195	26	191	600	0
5/18/2020	2783	517	4804	8437	497	147	18	305	749	0
5/19/2020	2918	548	5043	9639	497	135	31	239	1202	0
5/20/2020	3066	571	5219	10318	502	148	23	176	679	5
5/21/2020	3204	593	5488	11726	510	138	22	269	1408	8
5/22/2020	3324	629	5880	12583	512	120	36	392	857	2
5/23/2020	3406	677	6169	13404	515	82	48	289	821	3
5/24/2020	3538	733	6412	14600	520	132	56	243	1196	5
5/25/2020	3660	800	6636	15786	532	122	67	224	1186	12
5/26/2020	3824	800	7139	16954	542	164	0	503	1168	10
5/27/2020	3991	918	7549	17918	552	167	118	410	964	10
5/28/2020	4215	1050	8003	18616	555	224	132	454	698	3
5/29/2020	4410	1209	8611	26997	565	195	159	608	8381	10
5/30/2020	4651	1311	9232	28081	575	241	102	621	1084	10
5/31/2020	4843	1520	9919	29329	590	192	209	687	1248	15
6/1/2020	5030	1741	10780	30108	608	187	221	861	779	18
6/2/2020	5176	1803	11894	31333	627	146	62	1114	1225	19
6/3/2020	5257	2025	12212	32329	651	81	222	318	996	24
6/4/2020	5439	2120	12667	33681	690	182	95	455	1352	39
6/5/2020	5648	2233	13003	35156	712	209	113	336	1475	22
6/6/2020	5908	2298	13316	37390	762	260	65	313	2234	50
6/7/2020	6185	2405	13635	39314	803	277	107	319	1924	41
6/8/2020	6344	2542	13956	40975	814	159	137	321	1661	11
6/9/2020	6669	2770	14365	42639	848	325	228	409	1664	34
6/10/2020	6971	2934	14735	44515	905	302	164	370	1876	57
6/11/2020	0	3086	15101	46078	967	0	152	366	1563	62
6/12/2020	0	3316	15493	47796	999	0	230	392	1718	32
6/13/2020	0	3686	0	49364	1045	0	370	0	1568	46
6/14/2020	0	0	0	0	0	0	0	0	0	0
